,Number_saplings,Mean_DBH,Number_stems/plot,Standard_deviation_DBH,last_felled,collembola_a,collembola_b,dermaptera_a,dermaptera_b,hemiptera_a,hemiptera_b,coleoptera_a,coleoptera_b,coleoptera_c,coleoptera_d,diptera_a,diptera_b,diptera_c,diptera_d,diptera_e,diptera_f,diptera_g,diptera_h,diptera_i,diptera_j,diptera_k,diptera_l,diptera_m,hymenoptera_b,hymenoptera_c,hymenoptera_d,hymenoptera_e,mollusca_a,mollusca_b,arachnida_a,arachnida_b,arachnida_c,arachnida_d,arachnida_e,arachnida_f,arachnida_g,arachnida_h,other_a,other_b,other_c,other_d
1a,19,20.08823529,36,10.82288561,1988,4,0,0,0,1,0,1,0,0,0,4,1,2,1,1,0,0,0,0,0,0,0,0,2,16,1,0,3,0,3,1,1,0,0,0,0,0,0,0,0,0
1b,8,24.835,18,14.49041925,1988,2,1,2,1,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,1,0,0,0,3,2,0,0,1,0,0,0
1c,17,20.43333333,26,18.21283888,1988,0,3,2,0,1,1,0,0,0,0,1,3,1,0,0,4,0,0,0,0,0,0,0,2,4,0,0,0,0,4,0,0,0,2,0,1,2,0,2,0,0
1d,19,17.95,39,5.038744622,1988,1,0,0,0,0,9,1,0,0,0,4,1,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,1,8,0,0,0,2,1,0,0,0,1,0,0
2a,16,15.29090909,27,2.768918397,1998,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,4,0,7,2,1,1,0,0,1,18,0,0,0,0,1,1,0,0,0,1,3,0,0,2,18,0
2b,23,39.25,35,23.67758818,1998,4,2,0,0,1,3,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
2c,24,37.30909091,35,8.602843082,1998,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,1,2,0,0,0,6,0,0,0,0
2d,0,29.6483871,31,6.889454307,1998,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0
3a,34,0,34,0,2008,1,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
3b,27,0,27,0,2008,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3c,6,0,6,0,2008,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d,25,0,25,0,2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
