,1A,1B,1C,1D,2A,2B,2C,2D,3A,3B,3C,3D
collembola_a,4,2,0,1,0,4,0,0,1,0,0,0
collembola_b,0,1,3,0,0,2,3,3,0,1,0,0
dermaptera_a,0,2,2,0,0,0,0,0,0,0,0,0
dermaptera_b,0,1,0,0,0,0,0,0,0,0,0,0
hemiptera_a,1,0,1,0,0,1,0,0,0,0,0,0
hemiptera_b,0,0,1,9,1,3,0,0,2,0,0,0
coleoptera_a,1,0,0,1,0,1,2,0,0,0,0,0
coleoptera_b,0,0,0,0,0,0,0,0,0,0,0,0
coleoptera_c,0,1,0,0,0,0,0,0,0,0,0,0
coleoptera_d,0,0,0,0,2,0,0,0,0,0,0,0
diptera_a,4,1,1,4,4,5,0,1,1,4,3,1
diptera_b,1,4,3,1,0,1,0,2,2,0,0,0
diptera_c,2,1,1,0,0,0,1,0,0,0,0,0
diptera_d,1,0,0,0,0,0,0,0,0,0,0,0
diptera_e,1,0,0,2,0,0,0,0,0,0,0,0
diptera_f,0,0,4,0,4,0,0,1,0,0,1,0
diptera_g,0,0,0,2,0,0,0,0,0,0,0,0
diptera_h,0,0,0,0,7,0,0,0,0,0,0,0
diptera_i,0,0,0,0,2,0,0,0,0,0,0,0
diptera_j,0,0,0,0,1,0,0,1,0,0,0,0
diptera_k,0,0,0,0,1,0,0,0,0,0,0,0
diptera_l,0,0,0,0,0,0,0,0,0,2,0,0
diptera_m,0,0,0,0,0,0,0,0,0,0,1,0
hymenoptera_a,10,19,5,4,40,110,2,0,1,0,0,7
hymenoptera_b,2,0,2,2,1,1,1,2,0,0,0,0
hymenoptera_c,16,11,4,0,18,1,1,0,0,0,0,0
hymenoptera_d,1,0,0,0,0,0,0,0,0,0,0,0
hymenoptera_e,0,0,0,0,0,0,0,0,0,1,0,0
mollusca_a,3,0,0,0,0,0,0,0,0,2,0,0
mollusca_b,0,3,0,1,0,0,0,0,0,0,0,0
arachnida_a,3,1,4,8,1,0,5,5,0,2,0,1
arachnida_b,1,0,0,0,1,0,0,0,0,0,0,0
arachnida_c,1,0,0,0,0,0,1,0,0,0,0,0
arachnida_d,0,0,0,0,0,2,2,0,0,0,0,0
arachnida_e,0,3,2,2,0,0,0,0,0,0,0,1
arachnida_f,0,2,0,1,1,0,0,0,2,0,0,0
arachnida_g,0,0,1,0,3,0,0,1,0,0,0,0
arachnida_h,0,0,2,0,0,0,6,1,0,0,0,0
other_a,0,1,0,0,0,0,0,0,0,0,0,0
other_b,0,0,2,1,2,0,0,0,0,0,0,0
other_c,0,0,0,0,18,0,0,0,1,0,0,0
other_d,0,0,0,0,0,1,0,0,0,0,0,0
