Plot_no,Last_felled,Species_count,Total_abundance,Margalefs_RI,Menhinicks_RI,Simpsons_EI,Sapling_count,Mean_DBH,SD_DBH,Stems/plot
1A,1988,16,52,3.796273039,2.218800785,0.639792899,19,20.08823529,10.82288561,36
1B,1988,15,53,3.526189083,2.060408459,0.626470151,8,24.835,14.49041925,18
1C,1988,16,38,4.123613666,2.595542738,0.789473684,17,20.43333333,18.21283888,26
1D,1988,14,39,3.548459465,2.241794153,0.787639711,19,17.95,5.038744622,39
2A,1998,17,107,3.424050092,1.643452031,0.625906193,16,15.29090909,2.768918397,27
2B,1998,12,132,2.25280488,1.044465936,0.274678604,23,39.25,23.67758818,35
2C,1998,10,24,2.831921824,2.041241452,0.607638889,24,37.30909091,8.602843082,35
2D,1998,9,17,2.823648991,2.182820625,0.698961938,0,29.6483871,6.889454307,31
3A,2008,7,10,2.605766891,2.213594362,0.8,34,0,0,34
3B,2008,6,12,2.012148022,1.732050808,0.680555556,27,0,0,27
3C,2008,3,10,0.868588964,0.948683298,0.5,6,0,0,6
3D,2008,4,10,1.302883446,1.264911064,0.46,25,0,0,25
